host_response_rate,host_is_superhost,host_identity_verified,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,washers,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable
100,True,True,80211,39.75893,-105.01637,Apartment,Entire home/apt,2,1,1,0,129.0,500.0,85.0,2,25.0,30,0,99,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,2,2,0,0,0.7,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
100,False,True,80206,39.73729,-104.95013,House,Entire home/apt,6,2,3,3,295.0,1000.0,150.0,4,25.0,2,0,98,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,0.55,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
100,False,True,80211,39.75623,-105.01756999999999,House,Entire home/apt,4,1,2,2,60.0,0.0,80.0,1,0.0,90,0,95,10,9.0,10.0,10.0,10.0,9.0,False,flexible,1,1,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
100,True,True,80203,39.72096,-104.98114,Apartment,Entire home/apt,2,1,1,1,99.0,0.0,65.0,2,19.0,30,58,97,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,0.69,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0
100,False,False,80202,39.745309999999996,-104.9961,Apartment,Entire home/apt,5,2,2,2,95.0,450.0,149.0,4,15.0,30,0,95,10,10.0,9.0,9.0,10.0,9.0,True,super_strict_60,11,8,3,0,0.16,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0
97,False,True,80219,39.68953,-105.0411,House,Private room,5,1,2,3,125.0,0.0,5.0,1,10.0,2,0,92,9,9.0,10.0,10.0,9.0,10.0,False,moderate,1,0,1,0,0.84,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
100,True,True,80238,39.76001,-104.86888,Apartment,Entire home/apt,4,1,1,1,115.0,150.0,0.0,2,0.0,14,0,100,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,0.26,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
97,False,False,80205,39.75575,-104.97661000000001,House,Entire home/apt,10,2,3,5,199.0,199.0,89.0,8,0.0,1,37,92,10,9.0,10.0,10.0,10.0,9.0,True,strict_14_with_grace_period,1,1,0,0,2.61,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0
90,False,True,80212,39.78185,-105.03971999999999,Apartment,Entire home/apt,4,1,2,3,215.0,0.0,100.0,1,0.0,30,81,98,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,7,7,0,0,0.34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0
90,False,True,80212,39.781659999999995,-105.03975,Apartment,Entire home/apt,3,1,1,0,140.0,500.0,100.0,1,0.0,30,20,94,10,9.0,10.0,10.0,10.0,10.0,False,moderate,7,7,0,0,0.44,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0
