date,host_response_rate,host_is_superhost,host_identity_verified,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,washers,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable
2015-05-20,100,True,True,80203,39.73279,-104.97993,Apartment,Entire home/apt,2,1,1,1,100.0,500.0,25.0,1,0.0,1,77,100,10,10.0,10.0,10.0,10.0,10.0,True,flexible,1,1,0,0,5.04,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
2018-09-26,100,False,False,80204,39.74015,-105.0391,Apartment,Entire home/apt,5,1,2,2,150.0,0.0,78.0,4,25.0,1,68,97,10,10.0,10.0,10.0,10.0,10.0,True,moderate,5,5,0,0,4.91,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
2015-11-05,100,True,True,80205,39.75895,-104.96059,Apartment,Entire home/apt,2,1,0,1,90.0,200.0,40.0,1,0.0,2,41,99,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,1.4,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
2011-10-04,100,True,True,80202,39.75038,-105.0008,Apartment,Private room,1,1,1,1,55.0,0.0,10.0,2,15.0,2,0,100,10,8.0,10.0,10.0,10.0,9.0,False,moderate,2,1,1,0,0.13,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2016-04-28,100,True,True,80219,39.69494,-105.0216,House,Private room,2,1,1,1,45.0,0.0,45.0,1,0.0,1,66,99,10,10.0,10.0,10.0,10.0,10.0,True,moderate,2,0,2,0,5.68,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0
2013-08-13,100,True,False,80203,39.73366,-104.98551,Apartment,Entire home/apt,4,1,1,2,80.0,200.0,63.0,4,50.0,1,67,97,10,10.0,10.0,10.0,10.0,10.0,True,moderate,1,1,0,0,4.55,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0
2015-04-06,100,True,True,80204,39.73421,-104.99146,Apartment,Entire home/apt,4,2,3,3,199.0,250.0,30.0,2,10.0,3,50,100,10,10.0,10.0,10.0,10.0,10.0,True,flexible,1,1,0,0,3.4,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
2018-01-16,100,True,False,80212,39.77168,-105.05112,House,Entire home/apt,6,1,3,3,181.0,1000.0,99.0,1,0.0,30,28,100,10,10.0,10.0,10.0,10.0,10.0,False,moderate,2,2,0,0,0.9,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0
2014-06-04,97,False,False,80209,39.70498,-104.97945,House,Entire home/apt,5,2,2,2,130.0,0.0,129.0,2,15.0,2,1,98,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,0.92,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0
2017-09-26,100,False,False,80209,39.71365,-104.9827,Apartment,Entire home/apt,2,1,1,2,90.0,250.0,90.0,4,20.0,30,1,100,10,9.0,10.0,10.0,10.0,10.0,True,moderate,2,2,0,0,0.37,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0
2014-08-14,97,False,True,80238,39.78692,-104.88991,Apartment,Entire home/apt,5,1,1,3,91.0,100.0,35.0,2,15.0,1,0,97,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,1.22,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2016-02-01,100,True,True,80205,39.77266,-104.96747,Apartment,Entire home/apt,4,1,1,2,199.0,399.0,75.0,1,0.0,2,89,99,10,10.0,10.0,10.0,9.0,10.0,True,moderate,1,1,0,0,2.65,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
2015-07-15,97,False,True,80211,39.76272,-105.01333,House,Entire home/apt,6,2,2,2,398.0,450.0,100.0,4,20.0,3,0,100,10,10.0,10.0,10.0,10.0,8.0,True,flexible,2,1,1,0,0.06,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2014-05-21,100,True,True,80211,39.77155,-105.01009,Apartment,Entire home/apt,4,1,1,1,149.0,0.0,35.0,1,0.0,3,84,99,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,1.15,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
2013-12-01,100,True,False,80220,39.74362,-104.88694,House,Entire home/apt,11,2,5,6,151.0,1000.0,95.0,6,15.0,2,42,95,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,2.54,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
2013-09-03,100,False,False,80220,39.73613,-104.90227,House,Entire home/apt,4,2,2,2,175.0,250.0,50.0,4,35.0,2,45,95,10,9.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,1.33,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
2011-01-25,100,True,True,80210,39.68408,-104.96056000000002,Apartment,Entire home/apt,6,1,2,3,90.0,100.0,80.0,2,10.0,1,4,96,10,10.0,10.0,10.0,10.0,10.0,False,moderate,2,2,0,0,4.82,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0
2013-04-07,90,False,True,80212,39.78125,-105.03799,Apartment,Entire home/apt,4,1,2,2,125.0,500.0,100.0,1,0.0,30,58,92,9,9.0,9.0,9.0,10.0,9.0,False,strict_14_with_grace_period,7,7,0,0,0.93,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0
2016-03-10,100,True,False,80211,39.74807,-105.02426,Apartment,Entire home/apt,5,1,2,3,135.0,0.0,60.0,4,40.0,2,58,98,10,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,1,1,0,0,7.64,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0
2015-04-14,90,True,False,80211,39.77066,-105.00911,House,Entire home/apt,10,3,3,4,310.0,500.0,150.0,5,50.0,3,54,99,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,1.99,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
2013-06-30,100,True,True,80207,39.75096,-104.92659,House,Private room,3,1,2,2,85.0,0.0,25.0,2,35.0,1,75,98,10,10.0,10.0,10.0,10.0,10.0,True,moderate,1,0,1,0,4.06,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0
2017-10-28,100,False,False,80212,39.75695,-105.03859,House,Entire home/apt,4,1,2,2,250.0,1500.0,125.0,1,0.0,3,67,100,10,10.0,10.0,10.0,8.0,10.0,False,moderate,1,1,0,0,0.09,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
2017-05-29,100,False,False,80218,39.73976,-104.97642,Apartment,Entire home/apt,4,1,1,1,80.0,0.0,25.0,1,0.0,2,0,93,10,9.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,0.36,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013-10-23,100,True,False,80210,39.67953,-104.98035,House,Entire home/apt,6,2,3,4,145.0,500.0,100.0,1,0.0,30,0,100,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,2,2,0,0,0.15,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
2016-06-24,100,False,False,80205,39.76463,-104.97582,Apartment,Entire home/apt,3,1,1,1,115.0,0.0,55.0,1,0.0,1,0,97,10,10.0,10.0,10.0,10.0,9.0,True,flexible,1,1,0,0,1.55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
2018-07-07,100,True,False,80205,39.7599,-104.98326000000002,Apartment,Entire home/apt,2,1,1,1,119.0,0.0,75.0,1,0.0,1,79,100,10,10.0,10.0,10.0,10.0,10.0,True,strict_14_with_grace_period,2,2,0,0,3.82,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
2017-06-07,100,True,False,80205,39.75018,-104.98366,House,Entire home/apt,6,2,2,3,195.0,250.0,100.0,4,25.0,3,58,98,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,3.99,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
2019-07-21,100,True,False,80239,39.78155,-104.80702,House,Private room,2,1,1,1,43.0,0.0,0.0,1,0.0,1,0,99,10,10.0,10.0,10.0,10.0,10.0,True,flexible,1,0,1,0,12.46,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2015-02-13,97,True,False,80212,39.77516,-105.04346,House,Entire home/apt,2,1,1,1,105.0,0.0,20.0,1,0.0,3,0,99,10,10.0,10.0,10.0,10.0,10.0,True,moderate,1,1,0,0,2.07,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
2015-08-31,100,False,False,80206,39.74323,-104.94625,House,Entire home/apt,4,1,1,2,79.0,0.0,50.0,1,0.0,2,0,100,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,1.16,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
